QUEST_JOBSTEP_20150317_000001	Бокор. Вы выбрали трудный путь.{nl}Обратитесь к инструкциям в журнале приключений и сделайте свою куклу.	보코르라. 어려운 길을 택하셨군요.{nl}모험일지의 제작법을 참고하여 당신만의 인형을 만들어 오세요.				보코르 마스터
QUEST_JOBSTEP_20150317_000002	Вы должны сами сделать куклу.{nl}Загляните в журнал приключений, чтобы узнать, как вы можете сделать куклу.	스스로 구하지 않으면 얻을 수 없습니다.{nl}인형의 제조법은 당신의 모험일지를 참고하세요.				보코르 마스터
QUEST_JOBSTEP_20150317_000003	Поздравляю, родился новый Бокор.{nl}Когда я впервые выбрала путь Бокора, я начала с создания собственной куклы.	새로운 보코르의 탄생을 축하합니다.{nl}제가 보코르의 길을 선택했을 땐 나만의 인형을 만드는 것부터 시작했답니다.{nl}				
QUEST_JOBSTEP_20150317_000004	Мастер Пельтаста	펠타스타 마스터				
QUEST_JOBSTEP_20150317_000005	Если вы хотите получить мои учения, то сначала вам нужно доказать свою ценность.{nl}Вот задача: победить несколько Вуббов на 1-м этаже Хрустальной шахты.	그대가 정녕 제게 가르침을 받고 싶다면 그 자격이 있는지 증명해야 할 것입니다.{nl}과제를 드리지요. 수정광산 1층을 점령하고 있는 부베들을 처치하십시오.{nl}{nl}				
QUEST_JOBSTEP_20150317_000006	Как ты можешь носить титул Пельтаста, если ты не справляешься даже с этим?	그 정도도 해내지 못하고서야 어찌 펠타스타의 이름을 짊어진단 말입니까?				펠타스타 마스터
QUEST_JOBSTEP_20150317_000007	Хорошо.{nl}Надеюсь, ваш новый рост приведет к спасению мира.	좋습니다.{nl}그대의 성장이 세상을 지키는 일이 되길 바라겠습니다.				펠타스타 마스터
QUEST_JOBSTEP_20150317_000008	Мастер Горец	하이랜더 마스터				
QUEST_JOBSTEP_20150317_000009	Я так благодарен, что вы хотите стать преемником моего фехтования, но подозреваю, что вы не будете хорошо следовать моим учениям.{nl}Я проверю вас, заставив вас победить вуббов, которые занимают 1-й этаж здания. Хрустальная шахта.	그대가 나의 검법을 계승하겠다는 건 참으로 고마운 일이나 제대로 따라올 수 있을지 의문이 드는군.{nl}수정광산 1층을 점거하고 있는 부베들을 처치하는 것으로 그대를 시험해 보겠다.				
QUEST_JOBSTEP_20150317_000010	Торопиться.{nl}Хотя это ваша инициатива, Вуббы представляют угрозу для Шахтерской деревни.	서둘러라.{nl}비록 입문 과제이지만 그 부베들이 광산 마을의 위협이 되는 건 사실이니까.				하이랜더 마스터
QUEST_JOBSTEP_20150317_000011	Хорошая работа, вы завершили свое посвящение в горец.{nl}Продолжайте в том же духе и преданность делу.	결과가 좋군. 그대의 하이랜더 입문을 허락하겠다.{nl}앞으로도 열심히 정진하도록.				하이랜더 마스터
QUEST_JOBSTEP_20150317_000012	Мастер-пиромант	파이로맨서 마스터				
