QUEST_LV_0200_20150317_000001	Солдат Филиппа	필리파스 직속 부대원
QUEST_LV_0200_20150317_000002	Атаки монстров становятся все более жестокими.{nl}Я настроен на успех, но я также опасаюсь за нашу безопасность.	몬스터의 공격이 점점 더 거세집니다.{nl}각오는 되어 있지만, 그래도 두렵습니다.필리파스 직속 부대원
QUEST_LV_0200_20150317_000003	Это не имеет значения - я могу отказаться от своей жизни сегодня или быть мертвым завтра.	내일 죽을 몸이라면 오늘 목숨을 바쳐도 상관없습니다.필리파스 직속 부대원
QUEST_LV_0200_20150317_000004	Командир Ваценин	지휘관 바세닌
QUEST_LV_0200_20150317_000005	Каким-то образом нам нужно решить наши скудные припасы и силы.{nl}Как только мы это сделаем, мы сможем прорваться через лес по частям.	열악한 보급과 병력을 어떻게든 해결 해야해.{nl}역시 카틴 숲을 한 지점씩 모아서 돌파하는 게 좋을까.지휘관 바세닌
QUEST_LV_0200_20150317_000006	Несмотря на то, что все устали, мы не можем сдаваться, пока Кейтин Форест снова не станет нашей.	다들 힘들어하고 있지만 카틴 숲을 온전히 되찾을 때 까진 포기할 수 없네.지휘관 바세닌
QUEST_LV_0200_20150317_000007	Старший офицер Филипас	선임장교 필리파스
QUEST_LV_0200_20150317_000008	Я желаю мирного мира.{nl}Для того, чтобы это произошло, мне нужно больше работать.	나는 평화로운 세상을 원하네.{nl}그러기 위해선 내가 더욱 분발해야겠지.선임장교 필리파스
QUEST_LV_0200_20150317_000009	Я сделаю все, чтобы вернуть этот лес у монстров.{nl}Ради этого стоит рискнуть жизнью.	몬스터에게 빼앗긴 숲을 되찾기 위해선 뭐든 할 겁니다.{nl}목숨을 걸 가치는 충분합니다.필리파스 직속 부대원
QUEST_LV_0200_20150317_000010	Наша линия фронта состоит исключительно из войск Филиппа.{nl}Они будут следовать командам Филипаса во всем.	저희 전방 부대는 필리파스님의 전속 부대로 이루어져 있습니다.{nl}필리파스님의 명령이라면 불구덩이 속이라도 따라갈 겁니다.필리파스 직속 부대원
QUEST_LV_0200_20150317_000011	Живите с мыслью, что любой момент может стать для вас последним.{nl}Мы должны извлекать уроки из прошлого и использовать его в своих интересах.	언제나 지금이 마지막일지도 모른다는 생각으로 살아가고 있습니다.{nl}품 안에 항상 지니고 있는 유서가 바로 저희들의 각오입니다.필리파스 직속 부대원
QUEST_LV_0200_20150317_000012	Офицер Феликс	장교 필릭스
QUEST_LV_0200_20150317_000013	Вход в Kateen Forest скорее безопасен, но, пожалуйста, не заходите глубже этого.	카틴 숲 입구는 그나마 안전한 편이지만 이 이상 깊숙히 들어가는 건 왠간하면 포기하시오.
QUEST_LV_0200_20150317_000014	Скульптура Слабой Совы	약한 부엉이 조각상
QUEST_LV_0200_20150317_000015	Моя сила медленно ослабевает.{nl}Хотя есть много душ, которым нужно руководство…	제 힘은 점점 약해지고 있어요.{nl}아직도 인도해야 할 영혼이 많은데..약한 부엉이 조각상
QUEST_LV_0200_20150317_000016	Скульптура испуганной совы	두려운 부엉이 조각상
QUEST_LV_0200_20150317_000017	Святая сила леса ослабевает.{nl}Что будет с нами после того, как он исчезнет ?!	숲의 신성한 힘이 약해지고 있어요.{nl}이젠 정말 어찌 되려나..두려운 부엉이 조각상
QUEST_LV_0200_20150317_000018	Это слишком страшно.{nl}Этого никогда не было, когда богиня еще была рядом…	너무 무서워요.{nl}여신께서 계실 땐 이런 일은 없었는데..두려운 부엉이 조각상
QUEST_LV_0200_20150317_000019	Скульптура искренней совы	성실한 대장 부엉이
QUEST_LV_0200_20150317_000020	Этот лес проклят… он пожирает сов.{nl}Мне почти нечем добиться от других храбрости.	이 숲은 부엉이를 잡아 먹는 무시무시한 숲입니다.{nl}용기만큼 절실한 게 없지요.성실한 대장 부엉이
QUEST_LV_0200_20150317_000021	С тех пор, как внезапно возникло это огромное дерево, этот лес превратился в нечто ужасное.{nl}Даже корни деревьев пугают любого, кто на них смотрит.	거대한 나무가 솟아오르고 나서부터 이 숲은 끔찍하게 변했습니다.{nl}특히 나무뿌리 수정은 바라보고만 있어도 겁이 납니다.성실한 대장 부엉이
QUEST_LV_0200_20150317_000022	Посвященная скульптура совы	의지의 부엉이 조각상
QUEST_LV_0200_20150317_000023	Кого-то держали в плену.{nl}У меня такое чувство, что он исчезнет…	누군가 또 잡아먹혔나봐요.{nl}제 동료의 기운 하나가 느껴지질 않네요.의지의 부엉이 조각상
QUEST_LV_0200_20150317_000024	Священная сила, созданная богиней, полностью не исчезла.{nl}Сможет ли он подавить это разрушение?{nl}	여신께서 주신 신성력이 거의 남아있지 않아요.{nl}부서진 다음엔 어떻게 되는 걸까요?{nl}의지의 부엉이 조각상
QUEST_LV_0200_20150317_000025	Шеф дал мне силу.{nl}Я не буду бояться.	대장님께서 나누어 주신 힘이에요.{nl}이젠 두려워하지 않을 겁니다.의지의 부엉이 조각상
QUEST_LV_0200_20150317_000026	Я больше не буду бояться. Меня никогда не съедят монстры.	더 이상 두렵지 않아요.{nl}절대 잡아먹히지 않을 겁니다.의지의 부엉이 조각상
QUEST_LV_0200_20150317_000027	Скульптура тревожной совы	괴로운 부엉이 조각상
QUEST_LV_0200_20150317_000028	Я страдаю каждый день.{nl}Возможно, меня тоже съедят монстры.	하루하루가 정말 고통스러워요.{nl}아마 저도 곧 잡아먹히겠지요.괴로운 부엉이 조각상
QUEST_LV_0200_20150317_000029	Этот лес все чаще наполняется демонами.{nl}Где богиня?	숲이 점점 사악한 기운으로 물들어가요.{nl}여신께선 어디로 가신 걸까요?괴로운 부엉이 조각상
QUEST_LV_0200_20150317_000030	Меня выбрал вождь…{nl}Я сделаю все возможное, чтобы победить монстров.	대장님의 마음 잘 받았습니다.{nl}몬스터에게 지지 않도록 힘낼 겁니다.괴로운 부엉이 조각상
QUEST_LV_0200_20150317_000031	Вождь тоже борется вот так…{nl}Я никогда не буду съеден, пока богиня не вернется.	대장님께서 이렇게 애써주시는데..{nl}여신께서 돌아오실 때까지 절대로 잡아먹히지 않을 거예요.괴로운 부엉이 조각상
QUEST_LV_0200_20150317_000032	Подчиненная сова 3	부하 부엉이3
QUEST_LV_0200_20150317_000033	Мы всегда были здесь, в этом месте, но где богиня, которая всегда заботилась о нас?	우리는 항상 이곳에 있지만, 우리를 걱정하시는 여신께서는 어디 계시지?부하 부엉이3
QUEST_LV_0200_20150317_000034	Мы существуем только для того, чтобы направлять человеческие души?	우리는 인간의 영혼을 위해서만 존재하는 걸까?부하 부엉이3
QUEST_LV_0200_20150317_000035	Солдат Доминик	병사 도미니크
QUEST_LV_0200_20150317_000036	Мне приказали защищать это место своей жизнью и одновременно проводить разведку.{nl}Я точно не знаю, что они ожидают от меня.	자리를 사수하라는 명령과 정찰 명령이 동시에 내려왔습니다.{nl}도대체 어떻게 하라는 건지 모르겠네요.병사 도미니크
QUEST_LV_0200_20150317_000037	В следующий раз я позабочусь о том, чтобы они сказали мне, что именно они хотят, чтобы я сделал.{nl}Нет. не лучше ли спросить Джулиана?	다음엔 어느 쪽이던 좋으니까 소속을 확실히 정해 달라고 꼭 말해야겠어요.{nl}아니다. 줄리안님 쪽이 더 나으려나?병사 도미니크
QUEST_LV_0200_20150317_000038	Если это просто монстры такого уровня, думаю, я могу сообщить, что серьезной проблемы нет.{nl}О, если вы случайно столкнетесь с Самсоном, пожалуйста, скажите ему, чтобы он прекратил дурачиться и продолжил разведку.	그 정도 몬스터라면 별 문제는 없다고 보고 해도 되겠네요.{nl}참, 혹시 샘슨을 본다면 그만 놀고 정찰이나 하라고 전해주십시오.병사 도미니크
QUEST_LV_0200_20150317_000039	Я буду защищать эту область, поэтому отправляйтесь патрулировать перекресток Велтуи.{nl}Что касается отчетов, я сделаю их отдельно позже.	전 여길 지킬 테니까 벨투이 교차로까지 순찰을 나가 주십시오.{nl}보고는 나중에 내가 따로따로 하지요.병사 도미니크
QUEST_LV_0200_20150317_000040	Солдат Самсон	병사 샘슨
QUEST_LV_0200_20150317_000041	Не могли бы вы помочь мне найти обручальное кольцо Доминика?{nl}Я сейчас выполняю задание, поэтому не смогу покинуть это место.	도미니크의 약혼반지를 찾아주세요.{nl}전 임무수행중이라 자리를 비울 수가 없습니다.병사 샘슨
QUEST_LV_0200_20150317_000042	Говорю вам, он так себя ведет, хотя я купил ему примерно такой же. Такой скупой…	대충 비슷한 걸로 사다 줬는데도 저런다니까요?{nl}쪼잔하긴.병사 샘슨
QUEST_LV_0200_20150317_000043	Что это за уродство? О, могло ли кольцо быть внутри?	이 더러운건 뭐지요?{nl}어라, 안에 반지가 든 건가?병사 샘슨
QUEST_LV_0200_20150317_000044	Нож не влезет внутрь, и другого выхода его нет.{nl}Верно! Разве мы не можем сжечь его, чтобы получить то, что внутри?	칼이 들어가지도 않고 꺼낼 방법이 없네요.{nl}그렇지. 불로 태워버리면 꺼낼 수 있지 않을까요?병사 샘슨
